candidate_id,api_name,polymer_key,cosolvent_system,pre_interaction_energy_eV,post_interaction_energy_eV,pre_screening_score_proxy,screening_score_proxy,score_delta_relaxation,post_api_polymer_min_distance_A,reactive_hotspot_risk
screen_001,paracetamol,pvp,water,86.7083533257246,2.926623627608933,-84.7083533257246,-1.426623627608933,83.28172969811567,1.3937942423570724,low
screen_003,paracetamol,hpc,ethanol_water,144.48830610510777,9.371700823277934,-140.98830610510777,-7.071700823277933,133.91660528182985,1.419837499291227,medium
screen_002,paracetamol,peg,water,126.5780424773984,13.466588467388648,-124.2780424773984,-12.166588467388646,112.11145401000977,1.6812296257697878,medium
screen_004,paracetamol,pectin,glycerol_water,233.4480027294921,24.502303037719685,-228.9480027294921,-21.702303037719684,207.24569969177244,1.3226627986133852,low
screen_006,,pvp,water,243.9947479813709,34.686240062175784,-239.9947479813709,-31.436240062175784,208.5585079191951,,low
screen_005,paracetamol,pvp,water,288.47797508536314,47.37973137198424,-281.77797508536315,-42.47973137198423,239.29824371337887,1.3289037371238817,low
