dataset_name,model_name,n_rows,n_folds,accuracy_mean,balanced_accuracy_mean,f1_mean,accuracy_pooled,balanced_accuracy_pooled,f1_pooled,precision_pooled,recall_pooled
all_families,Baseline A,105,5,0.94010989010989,0.8448359073359073,0.7779054352629253,0.9523809523809524,0.9251543209876544,0.9693251533742332,0.9634146341463414,0.9753086419753086
all_families,Baseline B,105,5,0.94010989010989,0.8448359073359073,0.7779054352629253,0.9523809523809524,0.9251543209876544,0.9693251533742332,0.9634146341463414,0.9753086419753086
all_families,Augmented,105,5,0.9349816849816848,0.7232142857142857,0.7740471869328494,0.9428571428571428,0.904320987654321,0.9634146341463414,0.9518072289156626,0.9753086419753086
core_mixed_families,Baseline A,96,4,0.9251373626373628,0.8448359073359073,0.7223817940786567,0.9479166666666666,0.9236111111111112,0.9655172413793104,0.958904109589041,0.9722222222222222
core_mixed_families,Baseline B,96,4,0.9251373626373628,0.8448359073359073,0.7223817940786567,0.9479166666666666,0.9236111111111112,0.9655172413793104,0.958904109589041,0.9722222222222222
core_mixed_families,Augmented,96,4,0.8861184105749323,0.5982142857142857,0.7001171232009454,0.90625,0.8402777777777778,0.9395973154362416,0.9090909090909092,0.9722222222222222
